epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,4510.45,0.72773,0.47897,0.0108,0.75178,0.75851,0.80479,0.55229,1.07554,0.96892,0.02013,0.0002476,0.0002476,0.0002476
78,4556.07,0.73269,0.46348,0.0107,0.78988,0.72703,0.79071,0.53833,1.07039,1.01579,0.01987,0.0002377,0.0002377,0.0002377
79,4601.67,0.71274,0.45407,0.01045,0.70212,0.73087,0.7577,0.52507,1.07203,1.05193,0.02011,0.0002278,0.0002278,0.0002278
80,4648.32,0.72515,0.46471,0.01074,0.76909,0.65796,0.7435,0.52391,1.08514,1.08649,0.02072,0.0002179,0.0002179,0.0002179
81,4693.44,0.73756,0.44299,0.01126,0.81169,0.63348,0.73406,0.50166,1.10544,1.05981,0.0208,0.000208,0.000208,0.000208
82,4740.03,0.73164,0.43937,0.01069,0.83354,0.66093,0.74593,0.51232,1.06365,1.06293,0.01978,0.0001981,0.0001981,0.0001981
83,4784.44,0.70717,0.41399,0.01024,0.70827,0.76785,0.77801,0.53425,1.08198,1.00803,0.02049,0.0001882,0.0001882,0.0001882
84,4833.1,0.72497,0.41457,0.01086,0.80059,0.69282,0.78335,0.53134,1.09705,1.01287,0.02042,0.0001783,0.0001783,0.0001783
85,4877.53,0.7219,0.40931,0.01034,0.79156,0.67581,0.76416,0.52797,1.0645,1.06495,0.01967,0.0001684,0.0001684,0.0001684
86,4922.8,0.70456,0.4179,0.01049,0.86413,0.66419,0.77957,0.53922,1.03479,1.01933,0.01941,0.0001585,0.0001585,0.0001585
87,4966.73,0.70782,0.44356,0.01076,0.81859,0.67222,0.77795,0.5441,1.05756,1.02326,0.02017,0.0001486,0.0001486,0.0001486
88,5012.33,0.69317,0.4142,0.01013,0.84189,0.66779,0.75592,0.52434,1.08699,1.04174,0.02087,0.0001387,0.0001387,0.0001387
89,5057.75,0.69938,0.39671,0.01086,0.7932,0.66911,0.74442,0.51388,1.09845,1.0406,0.02087,0.0001288,0.0001288,0.0001288
90,5102.68,0.70619,0.4121,0.01002,0.7738,0.70219,0.73359,0.50612,1.08628,1.07557,0.02032,0.0001189,0.0001189,0.0001189
91,5148.1,0.68291,0.40568,0.0099,0.76577,0.71383,0.73592,0.50937,1.06258,1.06772,0.01989,0.000109,0.000109,0.000109
92,5194.76,0.6846,0.40282,0.00996,0.78481,0.68156,0.73855,0.51023,1.07204,1.05641,0.02006,9.91e-05,9.91e-05,9.91e-05
93,5239.44,0.67244,0.38525,0.00989,0.702,0.73925,0.74644,0.51582,1.08672,1.02968,0.02027,8.92e-05,8.92e-05,8.92e-05
94,5282,0.65481,0.38134,0.00914,0.72918,0.7101,0.74057,0.51544,1.08064,1.06061,0.02031,7.93e-05,7.93e-05,7.93e-05
95,6003.95,0.66091,0.39975,0.00989,0.75255,0.72617,0.74949,0.51778,1.07746,1.06843,0.02029,6.94e-05,6.94e-05,6.94e-05
96,9264.17,0.68484,0.40205,0.01017,0.75365,0.73155,0.75479,0.52266,1.07777,1.03255,0.02044,5.95e-05,5.95e-05,5.95e-05
97,11711.1,0.65033,0.43649,0.00982,0.75664,0.72208,0.75886,0.52761,1.08321,1.02842,0.02057,4.96e-05,4.96e-05,4.96e-05
98,11764.4,0.67241,0.40595,0.00954,0.82157,0.68426,0.75293,0.52935,1.07126,1.03108,0.02035,3.97e-05,3.97e-05,3.97e-05
99,11808.5,0.65669,0.391,0.00935,0.72602,0.72597,0.75877,0.5297,1.07697,1.02706,0.02043,2.98e-05,2.98e-05,2.98e-05
100,11851.2,0.66681,0.40258,0.0098,0.81877,0.67929,0.75587,0.52833,1.07243,1.0289,0.02035,1.99e-05,1.99e-05,1.99e-05
